Temperature (K), B_2V
190,-49089035420695576681906176
190,-49028802276950269168189440
191,-48968641087679961541640192
191,-48908551726355071880921088
191,-48848534066738024501215232
191,-48788587982882657248739328
191,-48728713349133139168985088
191,-48668910040123455110643712
191,-48609177930776185954893824
191,-48549516896302087708606464
191,-48489926812199103661867008
191,-48430407554251453854908416
191,-48370958998528896343736320
191,-48311581021386014235557888
192,-48252273499461322335584256
192,-48193036309676330844160000
192,-48133869329235098680164352
192,-48074772435622996530429952
192,-48015745506606242993274880
192,-47956788420230968275632128
192,-47897901054822484048609280
192,-47839083288984355734552576
192,-47780335001597930060644352
192,-47721656071821055158648832
192,-47663046379087848636678144
193,-47604505803107529348087808
193,-47546034223863764556447744
193,-47487631521613982740774912
193,-47429297576888394342989824
193,-47371032270489510731579392
193,-47312835483491104819511296
193,-47254707097237609768812544
